"filename", "language", "JSON", "odin", "Markdown", "comment", "blank", "total"
"d:\projects\rune3d\rune\core\core.odin", "odin", 0, 269, 0, 28, 44, 341
"d:\projects\rune3d\rune\ecs\audio.odin", "odin", 0, 60, 0, 5, 10, 75
"d:\projects\rune3d\rune\ecs\camera.odin", "odin", 0, 55, 0, 4, 10, 69
"d:\projects\rune3d\rune\ecs\motion.odin", "odin", 0, 49, 0, 7, 9, 65
"d:\projects\rune3d\rune\ecs\physics.odin", "odin", 0, 104, 0, 7, 14, 125
"d:\projects\rune3d\rune\ecs\registry.odin", "odin", 0, 42, 0, 3, 8, 53
"d:\projects\rune3d\rune\ecs\render_components.odin", "odin", 0, 117, 0, 0, 16, 133
"d:\projects\rune3d\rune\ecs\transform.odin", "odin", 0, 46, 0, 2, 10, 58
"d:\projects\rune3d\rune\ecs\world.odin", "odin", 0, 361, 0, 23, 42, 426
"d:\projects\rune3d\rune\input\input.odin", "odin", 0, 182, 0, 7, 13, 202
"d:\projects\rune3d\rune\jsonutil\jsonutil.odin", "odin", 0, 9, 0, 2, 3, 14
"d:\projects\rune3d\rune\prefab\prefab.odin", "odin", 0, 26, 0, 5, 6, 37
"d:\projects\rune3d\rune\r3d_bridge\r3d_bridge.odin", "odin", 0, 4, 0, 2, 2, 8
"d:\projects\rune3d\rune\render\render.odin", "odin", 0, 161, 0, 15, 21, 197
"d:\projects\rune3d\rune\scene\scene.odin", "odin", 0, 188, 0, 14, 27, 229
"d:\projects\rune3d\tools\component_validation\main.odin", "odin", 0, 167, 0, 0, 14, 181
"d:\projects\rune3d\tools\input_validation\main.odin", "odin", 0, 15, 0, 0, 5, 20
"d:\projects\rune3d\tools\prefab_validation\main.odin", "odin", 0, 36, 0, 0, 7, 43
"Total", "-", 765, 2929, 930, 146, 752, 5522
